county,use_date,total_cases,deaths
Bacon,2020-10-14,1,0
Bacon,2020-10-15,3,0
Bacon,2020-10-16,2,0
Bacon,2020-10-17,0,0
Bacon,2020-10-18,0,0
Bacon,2020-10-19,2,0
Bacon,2020-10-20,2,0
Bacon,2020-10-21,2,0
Bacon,2020-10-22,2,1
Bacon,2020-10-23,1,1
Bacon,2020-10-24,4,0
Bacon,2020-10-25,0,0
Bacon,2020-10-26,3,0
Bacon,2020-10-27,3,0
Bacon,2020-10-28,0,0
Bacon,2020-10-29,3,0
Bacon,2020-10-30,3,0
Bacon,2020-10-31,2,0
Bacon,2020-11-01,1,0
Bacon,2020-11-02,2,0
Bacon,2020-11-03,1,0
Bacon,2020-11-04,2,0
Bacon,2020-11-05,1,1
Bacon,2020-11-06,6,0
Bacon,2020-11-07,3,0
Bacon,2020-11-08,1,0
Bacon,2020-11-09,2,0
Bacon,2020-11-10,0,0
Bacon,2020-11-11,0,1
Bacon,2020-11-12,2,0
Bacon,2020-11-13,2,0
Bacon,2020-11-14,2,0
Bacon,2020-11-15,0,0
Bacon,2020-11-16,1,0
Bacon,2020-11-17,3,0
Bacon,2020-11-18,0,0
Bacon,2020-11-19,1,0
Bacon,2020-11-20,1,1
Bacon,2020-11-21,2,0
Bacon,2020-11-22,1,0
Bacon,2020-11-23,1,0
Bacon,2020-11-24,0,0
Bacon,2020-11-25,0,0
Bacon,2020-11-26,0,0
Bacon,2020-11-27,1,1
Bacon,2020-11-28,2,0
Bacon,2020-11-29,0,0
Bacon,2020-11-30,0,0
Bacon,2020-12-01,2,0
Bacon,2020-12-02,5,0
Bacon,2020-12-03,6,0
Bacon,2020-12-04,7,0
Bacon,2020-12-05,0,0
Bacon,2020-12-06,0,0
Bacon,2020-12-07,2,0
Bacon,2020-12-08,3,0
Bacon,2020-12-09,6,1
Bacon,2020-12-10,10,0
Bacon,2020-12-11,14,0
Bacon,2020-12-12,10,0
Bacon,2020-12-13,5,0
Bacon,2020-12-14,5,0
Bacon,2020-12-15,9,0
Bacon,2020-12-16,16,0
Bacon,2020-12-17,5,0
Bacon,2020-12-18,6,0
Bacon,2020-12-19,14,0
Bacon,2020-12-20,13,0
Bacon,2020-12-21,11,0
Bacon,2020-12-22,15,0
Bacon,2020-12-23,24,0
Bacon,2020-12-24,20,0
Bacon,2020-12-25,7,0
Bacon,2020-12-26,8,0
Bacon,2020-12-27,4,0
Bacon,2020-12-28,10,0
Bacon,2020-12-29,6,0
Bacon,2020-12-30,4,0
Bacon,2020-12-31,1,0
Bacon,2021-01-01,14,0
Bacon,2021-01-02,16,0
Bacon,2021-01-03,15,0
Bacon,2021-01-04,3,0
Bacon,2021-01-05,17,0
Bacon,2021-01-06,17,0
Bacon,2021-01-07,3,0
Bacon,2021-01-08,19,0
Bacon,2021-01-09,40,0
Bacon,2021-01-10,3,0
Bacon,2021-01-11,10,0
Bacon,2021-01-12,14,0
Bacon,2021-01-13,4,0
Bacon,2021-01-14,11,0
Bacon,2021-01-15,11,0
Bacon,2021-01-16,3,1
Bacon,2021-01-17,12,0
Bacon,2021-01-18,1,0
Bacon,2021-01-19,7,0
Bacon,2021-01-20,14,0
Bacon,2021-01-21,6,0
Bacon,2021-01-22,5,1
Bacon,2021-01-23,5,1
Bacon,2021-01-24,23,0
Bacon,2021-01-25,1,0
Bacon,2021-01-26,9,0
Bacon,2021-01-27,5,0
Bacon,2021-01-28,6,0
Bacon,2021-01-29,3,0
Bacon,2021-01-30,6,0
Bacon,2021-01-31,2,0
Bacon,2021-02-01,1,1
Bacon,2021-02-02,8,0
Bacon,2021-02-03,2,0
Bacon,2021-02-04,4,0
Bacon,2021-02-05,8,0
Bacon,2021-02-06,2,0
Bacon,2021-02-07,0,0
Bacon,2021-02-08,0,0
Bacon,2021-02-09,1,0
Bacon,2021-02-10,3,0
Bacon,2021-02-11,1,0
Bacon,2021-02-12,2,0
Bacon,2021-02-13,2,0
Bacon,2021-02-14,0,0
Bacon,2021-02-15,0,0
Bacon,2021-02-16,1,0
Bacon,2021-02-17,0,0
Bacon,2021-02-18,3,1
Bacon,2021-02-19,1,0
Bacon,2021-02-20,1,0
Bacon,2021-02-21,1,0
Bacon,2021-02-22,0,0
Bacon,2021-02-23,1,0
Bacon,2021-02-24,3,0
Bacon,2021-02-25,3,0
Bacon,2021-02-26,1,0
Bacon,2021-02-27,0,0
Bacon,2021-02-28,0,0
Bacon,2021-03-01,0,0
Bacon,2021-03-02,2,0
Bacon,2021-03-03,2,1
Bacon,2021-03-04,0,0
Bacon,2021-03-05,0,0
Bacon,2021-03-06,1,0
Bacon,2021-03-07,1,0
Bacon,2021-03-08,0,0
Bacon,2021-03-09,0,0
Bacon,2021-03-10,0,0
Bacon,2021-03-11,0,1
Bacon,2021-03-12,0,0
Bacon,2021-03-13,0,0
Bacon,2021-03-14,0,0
Bacon,2021-03-15,0,0
Bacon,2021-03-16,0,0
Bacon,2021-03-17,1,0
Bacon,2021-03-18,0,0
Bacon,2021-03-19,0,0
Bacon,2021-03-20,2,0
Bacon,2021-03-21,0,0
Bacon,2021-03-22,0,0
Bacon,2021-03-23,4,0
Bacon,2021-03-24,1,0
Bacon,2021-03-25,2,0
Bacon,2021-03-26,3,0
Bacon,2021-03-27,6,0
Bacon,2021-03-28,1,0
Bacon,2021-03-29,0,0
Bacon,2021-03-30,2,0
Bacon,2021-03-31,1,0
Baker,2020-09-01,0,0
Baker,2020-09-02,0,0
Baker,2020-09-03,0,0
Baker,2020-09-04,0,0
Baker,2020-09-05,0,0
Baker,2020-09-06,0,0
Baker,2020-09-07,1,0
Baker,2020-09-08,0,0
Baker,2020-09-09,1,0
Baker,2020-09-10,1,0
Baker,2020-09-11,0,0
Baker,2020-09-12,0,0
Baker,2020-09-13,0,0
Baker,2020-09-14,0,0
Baker,2020-09-15,0,0
Baker,2020-09-16,1,0
Baker,2020-09-17,1,0
Baker,2020-09-18,0,0
Baker,2020-09-19,2,0
Baker,2020-09-20,1,0
Baker,2020-09-21,0,0
Baker,2020-09-22,0,1
Baker,2020-09-23,1,0
Baker,2020-09-24,2,1
Baker,2020-09-25,2,0
Baker,2020-09-26,0,0
Baker,2020-09-27,0,0
Baker,2020-09-28,0,0
Baker,2020-09-29,0,0
Baker,2020-09-30,0,0
Baker,2020-10-01,0,0
Baker,2020-10-02,0,0
Baker,2020-10-03,0,0
Baker,2020-10-04,0,0
Baker,2020-10-05,0,0
Baker,2020-10-06,0,0
Baker,2020-10-07,0,0
Baker,2020-10-08,0,0
Baker,2020-10-09,2,1
Baker,2020-10-10,0,0
Baker,2020-10-11,0,0
Baker,2020-10-12,0,0
Baker,2020-10-13,0,0
Baker,2020-10-14,0,0
Baker,2020-10-15,1,0
Baker,2020-10-16,0,0
Baker,2020-10-17,0,0
Baker,2020-10-18,1,0
Baker,2020-10-19,0,0
Baker,2020-10-20,0,0
Baker,2020-10-21,0,0
Baker,2020-10-22,1,0
Baker,2020-10-23,1,0
Baker,2020-10-24,1,0
Baker,2020-10-25,0,0
Baker,2020-10-26,1,0
Baker,2020-10-27,0,0
Baker,2020-10-28,0,0
Baker,2020-10-29,1,0
Baker,2020-10-30,0,0
Baker,2020-10-31,0,0
Baker,2020-11-01,0,0
Baker,2020-11-02,0,0
Baker,2020-11-03,1,0
Baker,2020-11-04,3,0
Baker,2020-11-05,2,0
Baker,2020-11-06,1,0
Baker,2020-11-07,1,0
Baker,2020-11-08,2,0
Baker,2020-11-09,0,0
Baker,2020-11-10,1,0
Baker,2020-11-11,1,0
Baker,2020-11-12,2,0
Baker,2020-11-13,1,0
Baker,2020-11-14,0,0
Baker,2020-11-15,0,0
Baker,2020-11-16,0,0
Baker,2020-11-17,0,0
Baker,2020-11-18,0,0
Baker,2020-11-19,0,0
Baker,2020-11-20,0,0
Baker,2020-11-21,1,0
Baker,2020-11-22,0,0
Baker,2020-11-23,0,0
Baker,2020-11-24,0,0
Baker,2020-11-25,1,0
Baker,2020-11-26,1,0
Baker,2020-11-27,2,0
Baker,2020-11-28,0,0
Baker,2020-11-29,0,0
Baker,2020-11-30,0,0
Baker,2020-12-01,0,0
Baker,2020-12-02,1,0
Baker,2020-12-03,0,0
Baker,2020-12-04,1,0
Baker,2020-12-05,0,0
Baker,2020-12-06,0,0
Baker,2020-12-07,0,0
Baker,2020-12-08,1,0
Baker,2020-12-09,0,0
Baker,2020-12-10,6,0
Baker,2020-12-11,2,0
Baker,2020-12-12,2,0
Baker,2020-12-13,0,0
Baker,2020-12-14,0,0
Baker,2020-12-15,0,0
Baker,2020-12-16,0,0
Baker,2020-12-17,2,0
Baker,2020-12-18,1,0
Baker,2020-12-19,2,0
Baker,2020-12-20,5,0
Baker,2020-12-21,0,0
Baker,2020-12-22,1,0
Baker,2020-12-23,1,0
Baker,2020-12-24,4,0
Baker,2020-12-25,0,0
Baker,2020-12-26,1,0
Baker,2020-12-27,0,0
Baker,2020-12-28,1,0
Baker,2020-12-29,1,0
Baker,2020-12-30,3,0
Baker,2020-12-31,2,0
Baker,2021-01-01,1,0
Baker,2021-01-02,3,0
Baker,2021-01-03,2,0
Baker,2021-01-04,2,0
Baker,2021-01-05,2,0
Baker,2021-01-06,0,0
Baker,2021-01-07,1,0
Baker,2021-01-08,5,0
Baker,2021-01-09,1,0
Baker,2021-01-10,0,0
Baker,2021-01-11,0,0
Baker,2021-01-12,4,0
Baker,2021-01-13,1,0
Baker,2021-01-14,2,0
Baker,2021-01-15,0,0
Baker,2021-01-16,4,0
Baker,2021-01-17,2,0
Baker,2021-01-18,1,0
Baker,2021-01-19,1,0
Baker,2021-01-20,4,0
Baker,2021-01-21,1,0
Baker,2021-01-22,0,0
Baker,2021-01-23,2,0
Baker,2021-01-24,0,0
Baker,2021-01-25,1,0
Baker,2021-01-26,1,0
Baker,2021-01-27,3,0
Baker,2021-01-28,0,0
Baker,2021-01-29,1,0
Baker,2021-01-30,0,0
Baker,2021-01-31,0,0
Baker,2021-02-01,0,0
Baker,2021-02-02,0,0
Baker,2021-02-03,0,0
Baker,2021-02-04,0,0
Baker,2021-02-05,4,0
Baker,2021-02-06,0,1
Baker,2021-02-07,0,0
Baker,2021-02-08,0,0
Baker,2021-02-09,0,0
Baker,2021-02-10,1,0
Baker,2021-02-11,0,0
Baker,2021-02-12,2,0
Baker,2021-02-13,0,0
Baker,2021-02-14,0,0
Baker,2021-02-15,0,0
Baker,2021-02-16,0,0
Baker,2021-02-17,0,0
Baker,2021-02-18,0,0
Baker,2021-02-19,0,1
Baker,2021-02-20,1,0
Baker,2021-02-21,0,0
Baker,2021-02-22,2,0
Baker,2021-02-23,0,0
Baker,2021-02-24,1,0
Baker,2021-02-25,2,0
Baker,2021-02-26,0,0
Baker,2021-02-27,0,0
Baker,2021-02-28,0,0
Baker,2021-03-01,0,0
Baker,2021-03-02,0,0
Baker,2021-03-03,0,1
Baker,2021-03-04,0,0
Baker,2021-03-05,0,0
Baker,2021-03-06,0,0
Baker,2021-03-07,0,0
Baker,2021-03-08,0,0
Baker,2021-03-09,0,0
Baker,2021-03-10,0,0
Baker,2021-03-11,0,0
Baker,2021-03-12,0,0
Baker,2021-03-13,0,0
Baker,2021-03-14,0,0
Baker,2021-03-15,0,0
Baker,2021-03-16,1,0
Baker,2021-03-17,0,0
Baker,2021-03-18,0,0
Baker,2021-03-19,0,0
Baker,2021-03-20,1,0
Baker,2021-03-21,0,0
Baker,2021-03-22,0,0
Baker,2021-03-23,0,0
Baker,2021-03-24,1,0
Baker,2021-03-25,0,0
Baker,2021-03-26,0,0
Baker,2021-03-27,0,1
Baker,2021-03-28,0,0
Baker,2021-03-29,0,0
Baker,2021-03-30,0,0
Baker,2021-03-31,0,0
Baldwin,2020-09-01,26,2
Baldwin,2020-09-02,18,0
Baldwin,2020-09-03,23,0
Baldwin,2020-09-04,22,0
Baldwin,2020-09-05,24,1
Baldwin,2020-09-06,9,0
Baldwin,2020-09-07,15,0
Baldwin,2020-09-08,18,0
Baldwin,2020-09-09,30,1
Baldwin,2020-09-10,20,0
Baldwin,2020-09-11,9,0
Baldwin,2020-09-12,31,0
Baldwin,2020-09-13,9,0
Baldwin,2020-09-14,12,0
Baldwin,2020-09-15,17,0
Baldwin,2020-09-16,12,0
Baldwin,2020-09-17,9,0
Baldwin,2020-09-18,44,0
Baldwin,2020-09-19,30,0
Baldwin,2020-09-20,7,0
Baldwin,2020-09-21,2,0
Baldwin,2020-09-22,10,1
Baldwin,2020-09-23,16,0
Baldwin,2020-09-24,7,1
Baldwin,2020-09-25,7,0
Baldwin,2020-09-26,19,0
Baldwin,2020-09-27,3,0
Baldwin,2020-09-28,5,0
Baldwin,2020-09-29,22,1
Baldwin,2020-09-30,6,0
Baldwin,2020-10-01,4,0
Baldwin,2020-10-02,11,0
Baldwin,2020-10-03,12,1
Baldwin,2020-10-04,3,0
